"TOA5","Th-Bowdoin-2","CR1000","8318","CR1000.Std.12","CPU:BOWD-2_THERM-2014.CR1","5649","Therm"
"TIMESTAMP","RECORD","PTemp","Resist(1)","Resist(2)","Resist(3)","Resist(4)","Resist(5)","Resist(6)","Resist(7)","Resist(8)","Resist(9)","Resist(10)","Resist(11)","Resist(12)","Resist(13)","Resist(14)","Resist(15)","Resist(16)","Voltage(1)","Voltage(2)","Voltage(3)","Voltage(4)","Voltage(5)","Voltage(6)","Voltage(7)","Voltage(8)","Voltage(9)","Voltage(10)","Voltage(11)","Voltage(12)","Voltage(13)","Voltage(14)","Voltage(15)","Voltage(16)"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2014-07-24 22:30:00",12,4.408,27.07654,27.6501,26.88065,30.80717,33.31068,33.41835,34.984,35.30646,35.05013,34.79581,34.7583,33.3286,31.03109,22.8624,30.33167,41.78051,-25.60999,-20.38072,-27.42012,6.637143,26.14632,26.95082,38.34794,40.62736,38.81723,37.0071,36.73893,26.28041,8.447273,-67.51115,2.748716,82.05923
"2014-07-24 23:00:00",13,4.236,27.07654,27.6501,26.88065,30.80717,33.31964,33.41835,34.984,35.31599,35.05959,34.79581,34.7583,33.3286,31.03109,23.46877,30.33167,41.78051,-25.60999,-20.38072,-27.42012,6.637143,26.21336,26.95082,38.34794,40.6944,38.88427,37.0071,36.73893,26.28041,8.447273,-61.07513,2.748716,82.05923
"2014-07-24 23:30:00",14,4.064,27.07654,27.6501,26.88789,30.81544,33.31964,33.41835,34.984,35.31599,35.05959,34.79581,34.76768,33.3286,31.03942,23.68689,30.33167,41.79202,-25.60999,-20.38072,-27.35308,6.704185,26.21336,26.95082,38.34794,40.6944,38.88427,37.0071,36.80598,26.28041,8.514316,-58.7957,2.748716,82.12627
"2014-07-25 00:00:00",15,3.978,27.07654,27.6501,26.88789,30.81544,33.31964,33.41835,34.99344,35.31599,35.05959,34.80519,34.76768,33.33757,31.04775,23.30318,30.33167,41.79202,-25.60999,-20.38072,-27.35308,6.704185,26.21336,26.95082,38.41498,40.6944,38.88427,37.07414,36.80598,26.34745,8.581357,-62.81821,2.748716,82.12627
"2014-07-25 00:30:00",16,3.913,27.07654,27.6501,26.89511,30.81544,33.3286,33.42734,34.99344,35.32552,35.05959,34.80519,34.76768,33.33757,31.05607,23.50074,30.33167,41.80354,-25.60999,-20.38072,-27.28603,6.704185,26.28041,27.01787,38.41498,40.76144,38.88427,37.07414,36.80598,26.34745,8.648398,-60.73992,2.748716,82.19331
"2014-07-25 01:00:00",17,3.784,27.07654,27.6501,26.89511,30.8237,33.3286,33.42734,34.99344,35.32552,35.06905,34.80519,34.76768,33.34653,31.05607,23.80954,30.33167,41.80354,-25.60999,-20.38072,-27.28603,6.771227,26.28041,27.01787,38.41498,40.76144,38.95132,37.07414,36.80598,26.41449,8.648398,-57.52191,2.748716,82.19331
"2014-07-25 01:30:00",18,3.569,27.07654,27.6501,26.89511,30.8237,33.3286,33.42734,34.99344,35.32552,35.06905,34.80519,34.77705,33.34653,31.06441,24.35862,30.33167,41.81507,-25.60999,-20.38072,-27.28603,6.771227,26.28041,27.01787,38.41498,40.76144,38.95132,37.07414,36.87302,26.41449,8.715441,-51.89039,2.748716,82.26035
"2014-07-25 02:00:00",19,3.314,27.07654,27.6501,26.90235,30.83197,33.3286,33.43634,35.00288,35.32552,35.06905,34.81458,34.77705,33.34653,31.07274,24.00437,30.33167,41.81507,-25.60999,-20.38072,-27.21899,6.838269,26.28041,27.08491,38.48202,40.76144,38.95132,37.14119,36.87302,26.41449,8.782482,-55.51065,2.748716,82.26035
"2014-07-25 02:30:00",20,3.271,27.07654,27.6501,26.90235,30.83197,33.33757,33.43634,35.00288,35.33506,35.07851,34.81458,34.77705,33.3555,31.07274,23.90678,30.33167,41.81507,-25.60999,-20.38072,-27.21899,6.838269,26.34745,27.08491,38.48202,40.82849,39.01836,37.14119,36.87302,26.48153,8.782482,-56.51628,2.748716,82.26035
"2014-07-25 03:00:00",21,3.122,27.07654,27.6501,26.90235,30.84024,33.33757,33.43634,35.00288,35.33506,35.07851,34.81458,34.77705,33.3555,31.08108,24.5774,30.33167,41.82659,-25.60999,-20.38072,-27.21899,6.905311,26.34745,27.08491,38.48202,40.82849,39.01836,37.14119,36.87302,26.48153,8.849524,-49.67801,2.748716,82.32739
"2014-07-25 03:30:00",22,2.93,27.07654,27.6501,26.90235,30.84024,33.33757,33.43634,35.00288,35.33506,35.07851,34.82397,34.78643,33.3555,31.08108,24.79125,30.33167,41.82659,-25.60999,-20.38072,-27.21899,6.905311,26.34745,27.08491,38.48202,40.82849,39.01836,37.20823,36.94006,26.48153,8.849524,-47.53267,2.748716,82.32739
"2014-07-25 04:00:00",23,2.779,27.07654,27.6501,26.90959,30.84024,33.34653,33.43634,35.01233,35.3446,35.07851,34.82397,34.78643,33.36447,31.08941,24.71086,30.33167,41.82659,-25.60999,-20.38072,-27.15195,6.905311,26.41449,27.08491,38.54906,40.89553,39.01836,37.20823,36.94006,26.54857,8.916566,-48.33717,2.748716,82.32739
"2014-07-25 04:30:00",24,2.652,27.07654,27.6501,26.90959,30.84851,33.34653,33.44533,35.01233,35.3446,35.08798,34.82397,34.78643,33.36447,31.09776,24.5641,30.33167,41.83812,-25.60999,-20.38072,-27.15195,6.972353,26.41449,27.15195,38.54906,40.89553,39.0854,37.20823,36.94006,26.54857,8.983608,-49.8121,2.748716,82.39443
"2014-07-25 05:00:00",25,2.609,27.07654,27.6501,26.90959,30.84851,33.34653,33.44533,35.01233,35.3446,35.08798,34.82397,34.78643,33.36447,31.09776,24.47111,30.33167,41.83812,-25.60999,-20.38072,-27.15195,6.972353,26.41449,27.15195,38.54906,40.89553,39.0854,37.20823,36.94006,26.54857,8.983608,-50.75068,2.748716,82.39443
"2014-07-25 05:30:00",26,2.609,27.07654,27.6501,26.91683,30.84851,33.34653,33.44533,35.01233,35.35415,35.08798,34.83336,34.79581,33.37345,31.1061,24.18091,30.3398,41.83812,-25.60999,-20.38072,-27.08491,6.972353,26.41449,27.15195,38.54906,40.96257,39.0854,37.27527,37.0071,26.61562,9.05065,-53.70052,2.815758,82.39443
"2014-07-25 06:00:00",27,2.695,27.07654,27.6501,26.91683,30.85679,33.3555,33.44533,35.02178,35.35415,35.09745,34.83336,34.79581,33.37345,31.11445,24.10885,30.33167,41.84966,-25.60999,-20.38072,-27.08491,7.039394,26.48153,27.15195,38.61611,40.96257,39.15244,37.27527,37.0071,26.61562,9.117692,-54.43798,2.748716,82.46148
"2014-07-25 06:30:00",28,2.63,27.07654,27.6501,26.91683,30.85679,33.3555,33.45433,35.02178,35.35415,35.09745,34.83336,34.79581,33.37345,31.11445,24.09577,30.3398,41.84966,-25.60999,-20.38072,-27.08491,7.039394,26.48153,27.21899,38.61611,40.96257,39.15244,37.27527,37.0071,26.61562,9.117692,-54.57207,2.815758,82.46148
