"TOA5","BOWDOIN-2","CR1000","16193","CR1000.Std.15","CPU:SENSORKETTE-2-2014.CR1","49681","Public"
"TIMESTAMP","RECORD","PTemp","BatV","domeasure","res(1)","res(2)","res(3)","res(4)","res(5)","res(6)","res(7)","sensor","status","cmd","sensnr","lf"
"TS","RN","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"2016-07-06 13:08:08.9",102095,9.167812,13.59571,1,"","",""," 61, -386428,-1747631,   93, 3288,-1159, 20.965349, -2.413086, -1872  "," 62, 1729165,  -19632, 7499, 9999, 9999, 15.156541, -3.219238, -3620  "," 66, -650579,-1280568, 9999, 9999, 9999,  3.406702, -5.171631, -5299  "," 67, -354460, -577699, 9999, 9999, 9999,   1.80294, -5.438721, -5948  ","G","NAN",":G0  ",8,"  "
