"TOA5","BOWDOIN-1","CR1000","16188","CR1000.Std.15","CPU:SENSORKETTE-1-2014.CR1","11029","Public"
"TIMESTAMP","RECORD","PTemp","BatV","domeasure","res(1)","res(2)","res(3)","res(4)","res(5)","sensor","status","cmd","sensnr","lf"
"TS","RN","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"2016-07-07 20:32:05.76",52448,30.70525,13.67495,1,"","","","","","E","NAN",":E0  ",6,"  "
"2016-07-07 20:39:18.29",52448,30.70525,13.67495,1,"","","","","","E","NAN",":E0  ",6,"  "
