"TOA5","BOWDOIN-1","CR1000","16188","CR1000.Std.15","CPU:SENSORKETTE-1-2014.CR1","11029","All"
"TIMESTAMP","RECORD","BatV","PTemp","res(1)","res(2)","res(3)","res(4)","res(5)"
"TS","RN","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2015-05-18 16:00:00",27225,13.62,27.25,"",""," 51,  240088, -113083, 9999, 9999, 9999, 20.168588, -0.394043,  -279  "," 64, -180845,  211706, 9999, 9999, 9999, 13.544132, -2.241211, -2667  ","  2, -228917,   68350, -217, 3724,  449,  2.108538, -3.498291, -4073  "
"2015-05-18 16:10:00",27226,13.62,28.01,"",""," 51,  240157, -113058, 9999, 9999, 9999, 20.170673,  -0.45166,  -275  "," 64, -180751,  211742, 9999, 9999, 9999, 13.502174,  -2.26123, -2663  ","  2, -228957,   68308, -217, 3730,  446,  2.110903, -3.517822, -4077  "
"2015-05-18 16:20:00",27227,13.63,28.69,"",""," 51,  240112, -113101, 9999, 9999, 9999, 20.168905,  -0.41333,  -279  "," 64, -180819,  211814, 9999, 9999, 9999, 13.455217, -2.241211, -2654  ","  2, -228939,   68303, -219, 3727,  444,  2.109482,  -3.47876, -4081  "
"2015-05-18 16:30:00",27228,13.63,29.08,"",""," 51,  240190, -113066, 9999, 9999, 9999, 20.168493, -0.394043,  -283  "," 64, -180758,  211808, 9999, 9999, 9999, 13.427595, -2.241211, -2663  ","  2, -228932,   68315, -221, 3728,  444,  2.108974, -3.517822, -4073  "
"2015-05-18 16:40:00",27229,13.63,29.52,"",""," 51,  240128, -113088, 9999, 9999, 9999, 20.168809,  -0.41333,  -270  "," 64, -180759,  211817, 9999, 9999, 9999, 13.405717, -2.241211, -2659  ","  2, -228974,   68322, -221, 3730,  446,  2.111382, -3.537598, -4068  "
"2015-05-18 16:50:00",27230,13.64,30.02,"",""," 51,  240154, -113049, 9999, 9999, 9999, 20.168939,  -0.41333,  -270  "," 64, -180845,  211794, 9999, 9999, 9999, 13.380714,  -2.22168, -2654  ","  2, -228942,   68332, -214, 3727,  443,  2.108004, -3.498291, -4073  "
"2015-05-18 17:00:00",27231,13.64,30.67,"","",""," 64, -180809,  211816, 9999, 9999, 9999, 13.358789, -2.241211, -2650  ","  2, -228939,   68323, -211, 3729,  444,  2.115143, -3.517822, -4073  "
"2015-05-18 17:10:00",27232,13.66,31.26,"",""," 51,  240111, -113074, 9999, 9999, 9999, 20.166879,  -0.41333,  -270  "," 64, -180777,  211839, 9999, 9999, 9999, 13.344409, -2.241211, -2654  ","  2, -228913,   68306, -210, 3725,  442,  2.109264, -3.537598, -4073  "
"2015-05-18 17:20:00",27233,13.64,31.47,"",""," 51,  240160, -113057, 9999, 9999, 9999, 20.168317, -0.394043,  -270  "," 64, -180886,  211865, 9999, 9999, 9999, 13.323556,  -2.22168, -2667  ","  2, -228956,   68347, -206, 3723,  441,  2.109589, -3.537598, -4073  "
"2015-05-18 17:30:00",27234,13.64,30.84,"",""," 51,  240168, -113084, 9999, 9999, 9999, 20.171276, -0.432373,  -275  "," 64, -180821,  211846, 9999, 9999, 9999, 13.312295,  -2.20166, -2650  ","  2, -228988,   68375, -208, 3728,  444,   2.11224,  -3.47876, -4064  "
"2015-05-18 17:40:00",27235,13.63,29.45,"",""," 51,  240156, -113061, 9999, 9999, 9999, 20.166467, -0.394043,  -266  "," 64, -180869,  211898, 9999, 9999, 9999, 13.504831,  -2.22168, -2659  ","  2, -228987,   68354, -208, 3727,  442,  2.110428, -3.498291, -4068  "
"2015-05-18 17:50:00",27236,13.61,27.85,"",""," 51,  240193, -113071, 9999, 9999, 9999, 20.167627,  -0.41333,  -275  "," 64, -180891,  211884, 9999, 9999, 9999,  13.50814, -2.241211, -2667  ","  2, -229001,   68331, -214, 3725,  440,  2.111284, -3.537598, -4073  "
"2015-05-18 18:00:00",27237,13.61,26.25,"",""," 51,  240207, -113113, 9999, 9999, 9999, 20.172098, -0.394043,  -270  "," 64, -180879,  211878, 9999, 9999, 9999, 13.542743,  -2.26123, -2650  ","  2, -228988,   68372, -216, 3730,  439,  2.109335, -3.498291, -4073  "
"2015-05-18 18:10:00",27238,13.61,24.84,"",""," 51,  240163, -113087, 9999, 9999, 9999, 20.172883, -0.394043,  -266  "," 64, -180907,  211877, 9999, 9999, 9999, 13.531427, -2.241211, -2663  ","  2, -228981,   68377, -215, 3731,  437,  2.108816, -3.517822, -4081  "
"2015-05-18 18:20:00",27239,13.6,23.67,"",""," 51,  240195, -113104, 9999, 9999, 9999, 20.174543,  -0.41333,  -266  "," 64, -180804,  211888, 9999, 9999, 9999, 13.507228, -2.280762, -2650  ","  2, -228979,   68377, -219, 3725,  436,  2.108776, -3.498291, -4073  "
"2015-05-18 18:30:00",27240,13.6,22.81,"",""," 51,  240208, -113121, 9999, 9999, 9999, 20.178194,  -0.41333,  -279  "," 64, -180909,  211842, 9999, 9999, 9999, 13.510675,  -2.26123, -2659  ","  2, -229001,   68360, -219, 3732,  435,  2.110229, -3.517822, -4081  "
"2015-05-18 18:40:00",27241,13.6,22.25,"",""," 51,  240188, -113085, 9999, 9999, 9999, 20.175546,  -0.41333,  -275  "," 64, -180933,  211888, 9999, 9999, 9999, 13.529344, -2.241211, -2654  ","  2, -229011,   68373, -217, 3729,  433,  2.109772, -3.537598, -4077  "
"2015-05-18 18:50:00",27242,13.6,21.92,"",""," 51,  240187, -113092, 9999, 9999, 9999, 20.177133,  -0.41333,  -270  "," 64, -180980,  211940, 9999, 9999, 9999, 13.500156,  -2.26123, -2654  ","  2, -229025,   68377, -216, 3714,  433,   2.11075, -3.498291, -4073  "
"2015-05-18 19:00:00",27243,13.6,21.59,"",""," 51,  240190, -113114, 9999, 9999, 9999, 20.178804, -0.394043,  -266  "," 64, -180919,  211899, 9999, 9999, 9999, 13.579769, -2.241211, -2663  ","  2, -228998,   68370, -215, 3708,  435,  2.110903, -3.517822, -4081  "
"2015-05-18 19:10:00",27244,13.6,21.51,"",""," 51,  240209, -113098, 9999, 9999, 9999, 20.184471,    -0.375,  -279  "," 64, -180936,  211883, 9999, 9999, 9999, 13.538198,  -2.26123, -2663  ","  2, -229001,   68376, -211, 3708,  438,  2.107178, -3.537598, -4086  "
"2015-05-18 19:20:00",27245,13.61,21.72,"",""," 51,  240225, -113107, 9999, 9999, 9999,  20.18078,  -0.41333,  -266  "," 64, -181004,  211908, 9999, 9999, 9999, 13.505962, -2.241211, -2641  ","  2, -228967,   68380, -208, 3707,  439,  2.110651, -3.517822, -4073  "
"2015-05-18 19:30:00",27246,13.61,22.19,"",""," 51,  240198, -113118, 9999, 9999, 9999, 20.186441,  -0.41333,  -270  "," 64, -180928,  211884, 9999, 9999, 9999, 13.553014,  -2.26123, -2663  ","  2, -228986,   68361, -211, 3708,  439,  2.110495, -3.498291, -4077  "
"2015-05-18 19:40:00",27247,13.62,22.92,"",""," 51,  240206, -113090, 9999, 9999, 9999, 20.187015, -0.432373,  -275  "," 64, -180955,  212016, 9999, 9999, 9999, 13.559268,  -2.26123, -2654  ","  2, -228980,   68361, -212, 3704,  441,  2.111376, -3.498291, -4077  "
"2015-05-18 19:50:00",27248,13.63,23.7,"",""," 51,  240248, -113091, 9999, 9999, 9999, 20.188817,  -0.41333,  -270  "," 64, -180943,  211944, 9999, 9999, 9999, 13.541381, -2.241211, -2667  ","  2, -229034,   68417, -211, 3702,  439,   2.11087, -3.517822, -4073  "
"2015-05-18 20:00:00",27249,13.65,24.3,"","",""," 64, -181010,  211925, 9999, 9999, 9999, 13.531875,  -2.26123, -2650  ","  2, -229012,   68435, -214, 3706,  441,  2.108763, -3.498291, -4077  "
"2015-05-18 20:10:00",27250,13.65,24.75,"","",""," 64, -180986,  211982, 9999, 9999, 9999, 13.507478, -2.241211, -2654  ","  2, -229017,   68387, -216, 3703,  440,  2.109308, -3.517822, -4077  "
"2015-05-18 20:20:00",27251,13.65,24.84,"",""," 51,  240243, -113141, 9999, 9999, 9999,  20.19518, -0.394043,  -270  "," 64, -180985,  211926, 9999, 9999, 9999,  13.54392, -2.241211, -2654  ","  2, -229019,   68416, -219, 3708,  439,  2.111526, -3.556885, -4077  "
"2015-05-18 20:30:00",27252,13.65,24.57,"",""," 51,  240268, -113107, 9999, 9999, 9999, 20.199769,  -0.41333,  -266  "," 64, -181083,  212006, 9999, 9999, 9999, 13.569917,  -2.26123, -2663  ","  2, -229074,   68403, -221, 3709,  439,  2.111021, -3.517822, -4077  "
"2015-05-18 20:40:00",27253,13.65,24.16,"","",""," 64, -181036,  211935, 9999, 9999, 9999, 13.544355, -2.280762, -2650  ","  2, -229010,   68389, -219, 3706,  443,  2.109596, -3.498291, -4086  "
"2015-05-18 20:50:00",27254,13.64,23.84,"",""," 51,  240221, -113149, 9999, 9999, 9999,  20.19811, -0.394043,  -275  "," 64, -181015,  211996, 9999, 9999, 9999,  13.51863, -2.241211, -2654  ","  2, -229031,   68416, -214, 3706,  447,  2.108408, -3.498291, -4081  "
"2015-05-18 21:00:00",27255,13.64,23.67,"",""," 51,  240271, -113133, 9999, 9999, 9999, 20.199331, -0.394043,  -275  "," 64, -181084,  212012, 9999, 9999, 9999, 13.598855, -2.241211, -2654  ","  2, -229022,   68391, -214, 3707,  449,  2.109346, -3.517822, -4081  "
"2015-05-18 21:10:00",27256,13.65,23.38,"","",""," 64, -181069,  212012, 9999, 9999, 9999, 13.637783, -2.280762, -2646  ","  2, -229045,   68408, -215, 3701,  448,  2.110968, -3.498291, -4081  "
"2015-05-18 21:20:00",27257,13.64,23.18,"","",""," 64, -181124,  212022, 9999, 9999, 9999, 13.592784, -2.241211, -2654  ","  2, -229013,   68402, -216, 3703,  448,  2.113056, -3.517822, -4077  "
"2015-05-18 21:30:00",27258,13.66,22.84,"",""," 51,  240289, -113131, 9999, 9999, 9999, 20.204257, -0.432373,  -270  "," 64, -181020,  211981, 9999, 9999, 9999, 13.571651, -2.241211, -2654  ","  2, -229066,   68406, -217, 3706,  450,  2.108471, -3.498291, -4077  "
"2015-05-18 21:40:00",27259,13.65,22.5,"",""," 51,  240296, -113127, 9999, 9999, 9999, 20.206277,  -0.41333,  -266  "," 64, -181085,  211995, 9999, 9999, 9999, 13.544223,  -2.26123, -2654  ","  2, -229069,   68444, -218, 3706,  450,  2.107676, -3.517822, -4064  "
"2015-05-18 21:50:00",27260,13.65,22.06,"",""," 51,  240320, -113118, 9999, 9999, 9999, 20.205556, -0.394043,  -266  "," 64, -181100,  212014, 9999, 9999, 9999, 13.520526, -2.241211, -2650  ","  2, -229055,   68405, -221, 3705,  451,  2.110382, -3.517822, -4073  "
"2015-05-18 22:00:00",27261,13.66,21.56,"",""," 51,  240290, -113181, 9999, 9999, 9999, 20.206003,  -0.41333,  -266  "," 64, -181147,  212058, 9999, 9999, 9999, 13.501787, -2.241211, -2654  ","  2, -229018,   68396, -221, 3703,  450,  2.109753, -3.498291, -4073  "
"2015-05-18 22:10:00",27262,13.66,20.96,"",""," 51,  240306, -113136, 9999, 9999, 9999, 20.207963,  -0.41333,  -262  "," 64, -181158,  212015, 9999, 9999, 9999, 13.478502, -2.241211, -2633  ","  2, -229081,   68377, -222, 3706,  450,  2.113024, -3.517822, -4073  "
"2015-05-18 22:20:00",27263,13.65,20.26,"",""," 51,  240278, -113136, 9999, 9999, 9999, 20.207632, -0.394043,  -262  "," 64, -181144,  212072, 9999, 9999, 9999, 13.455217, -2.241211, -2646  ","  2, -229104,   68418, -223, 3704,  451,  2.109665, -3.498291, -4081  "
"2015-05-18 22:30:00",27264,13.65,19.49,"",""," 51,  240320, -113157, 9999, 9999, 9999, 20.212417, -0.432373,  -275  "," 64, -181125,  211961, 9999, 9999, 9999, 13.439304,  -2.20166, -2654  ","  2, -229034,   68444, -224, 3708,  452,  2.110937, -3.517822, -4068  "
"2015-05-18 22:40:00",27265,13.64,18.61,"",""," 51,  240313, -113119, 9999, 9999, 9999, 20.211565, -0.394043,  -279  "," 64, -181237,  212080, 9999, 9999, 9999, 13.425205, -2.241211, -2663  ","  2, -229072,   68447, -220, 3707,  451,   2.10973, -3.517822, -4068  "
"2015-05-18 22:50:00",27266,13.64,17.64,"",""," 51,  240330, -113181, 9999, 9999, 9999, 20.207582, -0.394043,  -275  "," 64, -181152,  212098, 9999, 9999, 9999, 13.411518,  -2.22168, -2646  ","  2, -229062,   68438, -218, 3710,  451,   2.10923, -3.537598, -4064  "
"2015-05-18 23:00:00",27267,13.64,16.74,"",""," 51,  240353, -113159, 9999, 9999, 9999, 20.207118,    -0.375,  -270  "," 64, -181209,  212087, 9999, 9999, 9999, 13.394973, -2.241211, -2641  ","  2, -229042,   68426, -217, 3707,  449,  2.111359, -3.498291, -4077  "
"2015-05-18 23:10:00",27268,13.63,15.9,"",""," 51,  240370, -113172, 9999, 9999, 9999, 20.205842,  -0.41333,  -262  "," 64, -181200,  212148, 9999, 9999, 9999, 13.374832, -2.241211, -2646  ","  2, -229060,   68413, -221, 3711,  450,  2.112614, -3.498291, -4073  "
"2015-05-18 23:20:00",27269,13.62,14.95,"",""," 51,  240343, -113173, 9999, 9999, 9999, 20.207218, -0.432373,  -270  "," 64, -181196,  212086, 9999, 9999, 9999, 13.576435,  -2.26123, -2650  ","  2, -229053,   68453, -219, 3712,  449,  2.112465, -3.556885, -4068  "
"2015-05-18 23:30:00",27270,13.61,14.13,"",""," 51,  240329, -113178, 9999, 9999, 9999, 20.202989,  -0.41333,  -266  "," 64, -181201,  212104, 9999, 9999, 9999, 13.597728,  -2.26123, -2654  ","  2, -229091,   68430, -214, 3712,  446,  2.111355, -3.517822, -4068  "
"2015-05-18 23:40:00",27271,13.64,13.47,"",""," 51,  240311, -113167, 9999, 9999, 9999, 20.203413, -0.394043,  -262  "," 64, -181201,  212107, 9999, 9999, 9999, 13.557312,  -2.26123, -2646  ","  2, -229074,   68459, -210, 3715,  443,   2.11141, -3.517822, -4073  "
"2015-05-18 23:50:00",27272,13.63,12.88,"",""," 51,  240348, -113151, 9999, 9999, 9999, 20.203348, -0.394043,  -270  "," 64, -181237,  212098, 9999, 9999, 9999, 13.599655,  -2.26123, -2654  ","  2, -229090,   68429, -208, 3712,  442,  2.110119,  -3.47876, -4073  "
"2015-05-19 00:00:00",27273,13.61,12.19,"",""," 51,  240368, -113182, 9999, 9999, 9999, 20.199869,  -0.41333,  -270  "," 64, -181242,  212091, 9999, 9999, 9999, 13.554841,  -2.26123, -2654  ","  2, -229057,   68404, -207, 3716,  440,  2.110529, -3.517822, -4068  "
"2015-05-19 00:10:00",27274,13.6,11.52,"",""," 51,  240381, -113186, 9999, 9999, 9999, 20.201829,  -0.41333,  -266  "," 64, -181276,  212100, 9999, 9999, 9999, 13.517059,  -2.26123, -2650  ","  2, -229092,   68469, -208, 3713,  441,  2.108978, -3.517822, -4064  "
"2015-05-19 00:20:00",27275,13.6,10.81,"",""," 51,  240350, -113138, 9999, 9999, 9999, 20.193304, -0.394043,  -275  "," 64, -181271,  212161, 9999, 9999, 9999, 13.487449, -2.280762, -2659  ","  2, -229092,   68461, -207, 3715,  439,  2.109041, -3.517822, -4081  "
"2015-05-19 00:30:00",27276,13.59,9.97,"",""," 51,  240361, -113183, 9999, 9999, 9999, 20.193639,  -0.41333,  -270  "," 64, -181317,  212112, 9999, 9999, 9999,  13.45899, -2.241211, -2650  ","  2, -229116,   68448, -207, 3716,  441,  2.109997, -3.498291, -4073  "
"2015-05-19 00:40:00",27277,13.61,9.28,"","",""," 64, -181329,  212158, 9999, 9999, 9999,  13.43333, -2.241211, -2663  ","  2, -229074,   68446, -207, 3715,  439,  2.104643, -3.517822, -4068  "
"2015-05-19 00:50:00",27278,13.6,8.63,"",""," 51,  240402, -113198, 9999, 9999, 9999,  20.18715, -0.394043,  -270  "," 64, -181265,  212186, 9999, 9999, 9999, 13.404502, -2.241211, -2659  ","  2, -229090,   68449, -208, 3710,  441,  2.107689, -3.498291, -4081  "
"2015-05-19 01:00:00",27279,13.58,7.993,"",""," 51,  240405, -113190, 9999, 9999, 9999, 20.189428,  -0.41333,  -262  "," 64, -181301,  212104, 9999, 9999, 9999, 13.390007,  -2.26123, -2659  ","  2, -229126,   68458, -205, 3713,  442,  2.109816, -3.537598, -4064  "
"2015-05-19 01:10:00",27280,13.58,7.356,"",""," 51,  240384, -113184, 9999, 9999, 9999, 20.184907, -0.394043,  -266  "," 64, -181339,  212142, 9999, 9999, 9999, 13.367946,  -2.22168, -2646  ","  2, -229091,   68456, -202, 3712,  442,  2.106729, -3.517822, -4064  "
"2015-05-19 01:20:00",27281,13.58,6.701,"",""," 51,  240352, -113220, 9999, 9999, 9999, 20.184501,    -0.375,  -270  "," 64, -181367,  212163, 9999, 9999, 9999, 13.342607,  -2.22168, -2659  ","  2, -229118,   68445, -203, 3711,  440,  2.108746, -3.517822, -4068  "
"2015-05-19 01:30:00",27282,13.58,6.134,"",""," 51,  240433, -113165, 9999, 9999, 9999, 20.183328,  -0.41333,  -270  "," 64, -181353,  212092, 9999, 9999, 9999,  13.32406, -2.241211, -2650  ","  2, -229097,   68423, -204, 3709,  440,  2.108408, -3.498291, -4068  "
"2015-05-19 01:40:00",27283,13.57,5.591,"",""," 51,  240431, -113196, 9999, 9999, 9999, 20.176321,  -0.41333,  -270  "," 64, -181381,  212176, 9999, 9999, 9999, 13.463127, -2.241211, -2659  ","  2, -229133,   68465, -207, 3711,  443,  2.106762, -3.517822, -4068  "
"2015-05-19 01:50:00",27284,13.58,5.051,"",""," 51,  240416, -113252, 9999, 9999, 9999, 20.172636, -0.394043,  -257  "," 64, -181353,  212210, 9999, 9999, 9999, 13.512792,  -2.26123, -2650  ","  2, -229130,   68478, -205, 3709,  447,  2.110527, -3.498291, -4073  "
"2015-05-19 02:00:00",27285,13.58,4.557,"",""," 51,  240411, -113217, 9999, 9999, 9999, 20.171401, -0.432373,  -275  "," 64, -181330,  212188, 9999, 9999, 9999, 13.497556, -2.241211, -2641  ","  2, -229109,   68469, -201, 3714,  450,  2.111048, -3.517822, -4064  "
"2015-05-19 02:10:00",27286,13.59,4.127,"",""," 51,  240396, -113211, 9999, 9999, 9999, 20.169219, -0.432373,  -262  "," 64, -181327,  212211, 9999, 9999, 9999, 13.559043, -2.241211, -2650  ","  2, -229137,   68458, -202, 3713,  454,  2.106794, -3.537598, -4068  "
"2015-05-19 02:20:00",27287,13.59,3.807,"",""," 51,  240408, -113214, 9999, 9999, 9999, 20.166879,  -0.41333,  -266  "," 64, -181399,  212235, 9999, 9999, 9999, 13.510196, -2.241211, -2650  ","  2, -229106,   68469, -202, 3712,  454,  2.110733, -3.537598, -4077  "
"2015-05-19 02:30:00",27288,13.58,3.486,"",""," 51,  240403, -113195, 9999, 9999, 9999, 20.168939,  -0.41333,  -262  "," 64, -181340,  212188, 9999, 9999, 9999, 13.539764, -2.241211, -2646  ","  2, -229126,   68486, -204, 3714,  455,  2.109648, -3.517822, -4077  "
"2015-05-19 02:40:00",27289,13.57,3.165,"",""," 51,  240408, -113245, 9999, 9999, 9999, 20.158575, -0.394043,  -266  "," 64, -181380,  212177, 9999, 9999, 9999, 13.565685,  -2.26123, -2646  ","  2, -229114,   68460, -204, 3716,  449,   2.10685, -3.498291, -4077  "
"2015-05-19 02:50:00",27290,13.57,2.779,"",""," 51,  240440, -113214, 9999, 9999, 9999, 20.156724,  -0.41333,  -270  "," 64, -181443,  212230, 9999, 9999, 9999, 13.521295, -2.280762, -2637  ","  2, -229116,   68523, -205, 3719,  446,  2.106764, -3.517822, -4073  "
"2015-05-19 03:00:00",27291,13.57,2.417,"","",""," 64, -181338,  212240, 9999, 9999, 9999, 13.546031, -2.241211, -2650  ","  2, -229127,   68497, -211, 3718,  444,  2.107788, -3.517822, -4068  "
"2015-05-19 03:10:00",27292,13.57,2.053,"",""," 51,  240426, -113181, 9999, 9999, 9999, 20.152109, -0.394043,  -266  "," 64, -181462,  212257, 9999, 9999, 9999, 13.516931,  -2.26123, -2654  ","  2, -229157,   68469, -210, 3721,  441,     2.111, -3.517822, -4068  "
"2015-05-19 03:20:00",27293,13.58,1.735,"",""," 51,  240416, -113196, 9999, 9999, 9999, 20.156049,  -0.41333,  -283  "," 64, -181409,  212231, 9999, 9999, 9999, 13.483156,  -2.26123, -2646  ","  2, -229143,   68494, -212, 3723,  439,  2.110088,  -3.47876, -4077  "
"2015-05-19 03:30:00",27294,13.58,1.437,"",""," 51,  240456, -113227, 9999, 9999, 9999,   20.1546, -0.394043,  -270  "," 64, -181435,  212258, 9999, 9999, 9999, 13.464101,  -2.26123, -2659  ","  2, -229151,   68473, -213, 3721,  437,  2.108622, -3.517822, -4073  "
"2015-05-19 03:40:00",27295,13.55,1.159,"",""," 51,  240466, -113235, 9999, 9999, 9999, 20.153984, -0.432373,  -266  "," 64, -181436,  212186, 9999, 9999, 9999, 13.431926, -2.241211, -2659  ","  2, -229136,   68468, -213, 3720,  438,  2.107111, -3.537598, -4081  "
"2015-05-19 03:50:00",27296,13.56,0.926,"",""," 51,  240439, -113222, 9999, 9999, 9999, 20.151689, -0.394043,  -262  "," 64, -181460,  212220, 9999, 9999, 9999, 13.405565,  -2.22168, -2646  ","  2, -229139,   68477, -209, 3721,  434,   2.10981, -3.537598, -4068  "
"2015-05-19 04:00:00",27297,13.58,0.691,"",""," 51,  240430, -113223, 9999, 9999, 9999, 20.154134, -0.394043,  -270  "," 64, -181491,  212325, 9999, 9999, 9999, 13.397993, -2.241211, -2663  ","  2, -229137,   68501, -210, 3717,  432,  2.110788, -3.517822, -4077  "
"2015-05-19 04:10:00",27298,13.55,0.458,"",""," 51,  240456, -113278, 9999, 9999, 9999, 20.150623, -0.432373,  -270  "," 64, -181493,  212304, 9999, 9999, 9999, 13.372619, -2.241211, -2641  ","  2, -229169,   68500, -211, 3721,  432,  2.109356, -3.498291, -4068  "
"2015-05-19 04:20:00",27299,13.56,0.246,"",""," 51,  240449, -113259, 9999, 9999, 9999, 20.147605,    -0.375,  -275  "," 64, -181463,  212250, 9999, 9999, 9999,  13.34513, -2.241211, -2646  ","  2, -229161,   68516, -211, 3718,  433,  2.106729, -3.517822, -4077  "
"2015-05-19 04:30:00",27300,13.57,0.054,"",""," 51,  240470, -113265, 9999, 9999, 9999, 20.150434,  -0.41333,  -270  "," 64, -181475,  212276, 9999, 9999, 9999, 13.332487, -2.241211, -2641  ","  2, -229180,   68498, -212, 3719,  433,   2.11101, -3.537598, -4073  "
"2015-05-19 04:40:00",27301,13.57,-0.118,"",""," 51,  240481, -113236, 9999, 9999, 9999,  20.14652, -0.394043,  -279  "," 64, -181466,  212259, 9999, 9999, 9999, 13.513923,  -2.26123, -2646  ","  2, -229149,   68512, -211, 3718,  435,  2.108555, -3.517822, -4068  "
"2015-05-19 04:50:00",27302,13.57,-0.224,"",""," 51,  240490, -113239, 9999, 9999, 9999, 20.146402, -0.394043,  -279  "," 64, -181509,  212383, 9999, 9999, 9999, 13.538192,  -2.26123, -2650  ","  2, -229196,   68527, -211, 3718,  436,  2.108564, -3.498291, -4068  "
"2015-05-19 05:00:00",27303,13.56,-0.307,"",""," 51,  240496, -113256, 9999, 9999, 9999, 20.144044, -0.394043,  -266  "," 64, -181438,  212360, 9999, 9999, 9999, 13.565366, -2.241211, -2650  ","  2, -229163,   68486, -212, 3719,  435,  2.110342, -3.498291, -4077  "
"2015-05-19 05:10:00",27304,13.56,-0.35,"",""," 51,  240499, -113258, 9999, 9999, 9999, 20.148317,  -0.41333,  -266  "," 64, -181528,  212295, 9999, 9999, 9999, 13.574216,  -2.26123, -2646  ","  2, -229188,   68507, -213, 3723,  433,   2.10828, -3.537598, -4073  "
"2015-05-19 05:20:00",27305,13.55,-0.393,"",""," 51,  240527, -113228, 9999, 9999, 9999, 20.147893,  -0.41333,  -262  "," 64, -181561,  212354, 9999, 9999, 9999, 13.569919,  -2.26123, -2654  ","  2, -229171,   68491, -213, 3722,  433,  2.110292, -3.498291, -4077  "
"2015-05-19 05:30:00",27306,13.57,-0.436,"",""," 51,  240470, -113247, 9999, 9999, 9999, 20.143451,    -0.375,  -270  "," 64, -181488,  212309, 9999, 9999, 9999, 13.525424,  -2.26123, -2650  ","  2, -229202,   68513, -215, 3721,  434,  2.106697, -3.517822, -4077  "
"2015-05-19 05:40:00",27307,13.58,-0.479,"",""," 51,  240528, -113261, 9999, 9999, 9999, 20.146762, -0.432373,  -275  "," 64, -181532,  212348, 9999, 9999, 9999, 13.537811, -2.241211, -2641  ","  2, -229163,   68507, -216, 3715,  432,   2.10898, -3.517822, -4077  "
"2015-05-19 05:50:00",27308,13.57,-0.585,"",""," 51,  240536, -113246, 9999, 9999, 9999, 20.146635, -0.394043,  -270  "," 64, -181538,  212384, 9999, 9999, 9999, 13.556577,  -2.22168, -2659  ","  2, -229174,   68531, -215, 3714,  431,  2.108921, -3.498291, -4068  "
"2015-05-19 06:00:00",27309,13.56,-0.671,"",""," 51,  240523, -113270, 9999, 9999, 9999,  20.14594, -0.394043,  -279  "," 64, -181568,  212347, 9999, 9999, 9999, 13.541978, -2.241211, -2646  ","  2, -229199,   68545, -214, 3720,  433,  2.105501,  -3.47876, -4073  "
"2015-05-19 06:10:00",27310,13.55,-0.734,"",""," 51,  240516, -113264, 9999, 9999, 9999, 20.151157, -0.432373,  -266  "," 64, -181587,  212370, 9999, 9999, 9999, 13.581829,  -2.22168, -2663  ","  2, -229182,   68553, -212, 3722,  432,  2.108826, -3.517822, -4077  "
"2015-05-19 06:20:00",27311,13.58,-0.798,"","",""," 64, -181538,  212347, 9999, 9999, 9999, 13.535627, -2.241211, -2659  ","  2, -229178,   68510, -209, 3717,  436,  2.110373, -3.498291, -4077  "
"2015-05-19 06:30:00",27312,13.56,-0.861,"",""," 51,  240548, -113247, 9999, 9999, 9999, 20.153821, -0.394043,  -270  "," 64, -181586,  212361, 9999, 9999, 9999, 13.569948,  -2.26123, -2650  ","  2, -229187,   68504, -213, 3721,  432,    2.1042, -3.498291, -4068  "
"2015-05-19 06:40:00",27313,13.55,-0.904,"",""," 51,  240546, -113269, 9999, 9999, 9999,  20.15331,  -0.41333,  -279  "," 64, -181603,  212384, 9999, 9999, 9999, 13.529125, -2.241211, -2646  ","  2, -229180,   68549, -213, 3719,  433,  2.107172, -3.537598, -4073  "
"2015-05-19 06:50:00",27314,13.55,-0.927,"",""," 51,  240535, -113268, 9999, 9999, 9999, 20.154035, -0.394043,  -283  "," 64, -181577,  212444, 9999, 9999, 9999,  13.62034, -2.241211, -2646  ","  2, -229169,   68505, -209, 3718,  433,  2.110903, -3.517822, -4077  "
"2015-05-19 07:00:00",27315,13.57,-0.884,"",""," 51,  240540, -113282, 9999, 9999, 9999,  20.15629, -0.394043,  -283  "," 64, -181659,  212415, 9999, 9999, 9999, 13.620374, -2.241211, -2654  ","  2, -229223,   68529, -210, 3719,  433,  2.102455, -3.517822, -4064  "
"2015-05-19 07:10:00",27316,13.57,-0.841,"",""," 51,  240546, -113254, 9999, 9999, 9999, 20.158506,  -0.41333,  -270  "," 64, -181619,  212441, 9999, 9999, 9999, 13.605974,  -2.26123, -2654  ","  2, -229197,   68537, -210, 3719,  431,  2.108784, -3.517822, -4073  "
"2015-05-19 07:20:00",27317,13.54,-0.798,"",""," 51,  240570, -113299, 9999, 9999, 9999, 20.158342, -0.394043,  -275  "," 64, -181617,  212452, 9999, 9999, 9999, 13.572034,  -2.26123, -2654  ","  2, -229218,   68551, -208, 3721,  431,  2.107815, -3.517822, -4073  "
"2015-05-19 07:30:00",27318,13.55,-0.712,"",""," 51,  240572, -113287, 9999, 9999, 9999, 20.165903, -0.394043,  -275  "," 64, -181659,  212452, 9999, 9999, 9999, 13.537031, -2.241211, -2641  ","  2, -229213,   68522, -211, 3717,  430,  2.108408, -3.498291, -4064  "
