# polycoeffs from calibration (for ix and iy, sensors A to G)
-3317447.025677    -153.202101
-3320681.202856   59762.183890
-3329595.962136  104302.644901
-3321542.620234   45381.584021  
-3333514.192378 -103374.581979
-3322697.206801  -35813.404664
-6652657.756672  221569.698242
-6672910.200576     336.526142  
-6661662.296906 -120558.883661
-6679207.331869   -8508.258105
-6599823.492394  279215.487802
-6673629.836175   12418.087326
-6666203.111146  -47683.380317
-6678404.284372   15954.398697
