"Date Time, GMT+00:00","Abs Pres, kPa"
15/07/19 12:16:10,102.435
15/07/19 12:16:12,102.471
15/07/19 12:16:14,102.784
15/07/19 12:16:16,102.399
15/07/19 12:16:18,102.531
15/07/19 12:16:20,102.652
15/07/19 12:16:22,102.399
15/07/19 12:16:24,102.279
15/07/19 12:16:26,102.832
15/07/19 12:16:28,102.82
15/07/19 12:16:30,102.339
15/07/19 12:16:32,102.279
15/07/19 12:16:34,102.928
15/07/19 12:16:36,102.652
15/07/19 12:16:38,102.303
15/07/19 12:16:40,102.916
15/07/19 12:16:42,102.904
15/07/19 12:16:44,102.375
15/07/19 12:16:46,102.315
15/07/19 12:16:48,102.904
15/07/19 12:16:50,102.808
15/07/19 12:16:52,102.315
15/07/19 12:16:54,102.435
15/07/19 12:16:56,102.808
15/07/19 12:16:58,102.435
15/07/19 12:17:00,102.399
15/07/19 12:17:02,102.604
15/07/19 12:17:04,102.856
15/07/19 12:17:06,102.736
15/07/19 12:17:08,102.315
15/07/19 12:17:10,102.652
15/07/19 12:17:12,102.88
15/07/19 12:17:14,102.399
15/07/19 12:17:16,102.279
15/07/19 12:17:18,102.808
15/07/19 12:17:20,102.64
15/07/19 12:17:22,102.555
15/07/19 12:17:24,102.664
15/07/19 12:17:26,102.387
15/07/19 12:17:28,102.832
15/07/19 12:17:30,102.459
15/07/19 12:17:32,102.567
15/07/19 12:17:34,103.072
15/07/19 12:17:36,102.435
15/07/19 12:17:38,102.483
15/07/19 12:17:40,102.567
15/07/19 12:17:42,102.88
15/07/19 12:17:44,102.604
15/07/19 12:17:46,102.303
15/07/19 12:17:48,102.483
15/07/19 12:17:50,102.844
15/07/19 12:17:52,102.64
15/07/19 12:17:54,102.327
15/07/19 12:17:56,102.844
15/07/19 12:17:58,102.507
15/07/19 12:18:00,102.676
15/07/19 12:18:02,102.351
15/07/19 12:18:04,102.64
15/07/19 12:18:06,102.94
15/07/19 12:18:08,102.567
15/07/19 12:18:10,102.291
15/07/19 12:18:12,102.676
15/07/19 12:18:14,102.94
15/07/19 12:18:16,102.447
15/07/19 12:18:18,102.459
15/07/19 12:18:20,102.832
15/07/19 12:18:22,102.64
15/07/19 12:18:24,102.315
15/07/19 12:18:26,102.796
15/07/19 12:18:28,103.084
15/07/19 12:18:30,102.411
15/07/19 12:18:32,102.495
15/07/19 12:18:34,102.82
15/07/19 12:18:36,102.567
15/07/19 12:18:38,102.579
15/07/19 12:18:40,102.784
15/07/19 12:18:42,102.387
15/07/19 12:18:44,102.748
15/07/19 12:18:46,103.06
15/07/19 12:18:48,102.411
15/07/19 12:18:50,102.832
15/07/19 12:18:52,103.132
15/07/19 12:18:54,102.399
15/07/19 12:18:56,102.567
15/07/19 12:18:58,102.856
15/07/19 12:19:00,102.724
15/07/19 12:19:02,102.339
15/07/19 12:19:04,102.7
15/07/19 12:19:06,102.976
15/07/19 12:19:08,102.483
15/07/19 12:19:10,102.411
15/07/19 12:19:12,102.712
15/07/19 12:19:14,102.616
15/07/19 12:19:16,102.495
15/07/19 12:19:18,102.459
15/07/19 12:19:20,102.928
15/07/19 12:19:22,102.772
15/07/19 12:19:24,102.327
15/07/19 12:19:26,102.628
15/07/19 12:19:28,102.808
15/07/19 12:19:30,102.592
15/07/19 12:19:32,102.315
15/07/19 12:19:34,102.712
15/07/19 12:19:36,102.724
15/07/19 12:19:38,102.664
15/07/19 12:19:40,102.435
15/07/19 12:19:42,102.567
15/07/19 12:19:44,102.976
15/07/19 12:19:46,102.531
15/07/19 12:19:48,102.327
15/07/19 12:19:50,103.156
15/07/19 12:19:52,102.616
15/07/19 12:19:54,102.315
15/07/19 12:19:56,102.928
15/07/19 12:19:58,102.712
15/07/19 12:20:00,102.315
15/07/19 12:20:02,102.796
15/07/19 12:20:04,102.712
15/07/19 12:20:06,102.327
15/07/19 12:20:08,102.856
15/07/19 12:20:10,102.784
15/07/19 12:20:12,102.339
15/07/19 12:20:14,102.64
15/07/19 12:20:16,102.736
15/07/19 12:20:18,102.399
15/07/19 12:20:20,102.64
15/07/19 12:20:22,102.856
15/07/19 12:20:24,102.628
15/07/19 12:20:26,102.327
15/07/19 12:20:28,102.483
15/07/19 12:20:30,102.844
15/07/19 12:20:32,102.604
15/07/19 12:20:34,102.423
15/07/19 12:20:36,102.64
15/07/19 12:20:38,102.868
15/07/19 12:20:40,102.579
15/07/19 12:20:42,102.315
15/07/19 12:20:44,102.88
15/07/19 12:20:46,102.94
15/07/19 12:20:48,102.351
15/07/19 12:20:50,102.76
15/07/19 12:20:52,102.904
15/07/19 12:20:54,102.363
15/07/19 12:20:56,102.7
15/07/19 12:20:58,102.724
15/07/19 12:21:00,102.351
15/07/19 12:21:02,102.772
15/07/19 12:21:04,102.435
