"Date Time GMT+00:00","Abs Pres kPa"
15/07/10 17:06:10,103.108
15/07/10 17:06:12,103.06
15/07/10 17:06:14,103.216
15/07/10 17:06:16,103.288
15/07/10 17:06:18,103.168
15/07/10 17:06:20,103.132
15/07/10 17:06:22,103.192
15/07/10 17:06:24,103.18
15/07/10 17:06:26,103.168
15/07/10 17:06:28,103.216
15/07/10 17:06:30,103.204
15/07/10 17:06:32,103.12
15/07/10 17:06:34,103.132
15/07/10 17:06:36,103.216
15/07/10 17:06:38,103.252
15/07/10 17:06:40,103.228
15/07/10 17:06:42,103.216
15/07/10 17:06:44,103.144
15/07/10 17:06:46,103.06
15/07/10 17:06:48,103.108
15/07/10 17:06:50,103.18
15/07/10 17:06:52,103.24
15/07/10 17:06:54,103.252
15/07/10 17:06:56,103.144
15/07/10 17:06:58,103.108
15/07/10 17:07:00,103.216
15/07/10 17:07:02,103.204
15/07/10 17:07:04,103.156
15/07/10 17:07:06,103.144
15/07/10 17:07:08,103.144
15/07/10 17:07:10,103.204
15/07/10 17:07:12,103.228
15/07/10 17:07:14,103.192
15/07/10 17:07:16,103.156
15/07/10 17:07:18,103.096
15/07/10 17:07:20,103.192
15/07/10 17:07:22,103.228
15/07/10 17:07:24,103.192
15/07/10 17:07:26,103.168
15/07/10 17:07:28,103.12
15/07/10 17:07:30,103.096
15/07/10 17:07:32,103.216
15/07/10 17:07:34,103.24
15/07/10 17:07:36,103.204
15/07/10 17:07:38,103.18
15/07/10 17:07:40,103.156
15/07/10 17:07:42,103.144
15/07/10 17:07:44,103.156
15/07/10 17:07:46,103.192
15/07/10 17:07:48,103.168
15/07/10 17:07:50,103.168
15/07/10 17:07:52,103.228
15/07/10 17:07:54,103.228
15/07/10 17:07:56,103.192
15/07/10 17:07:58,103.156
15/07/10 17:08:00,103.108
15/07/10 17:08:02,103.156
15/07/10 17:08:04,103.204
15/07/10 17:08:06,103.168
15/07/10 17:08:08,103.18
15/07/10 17:08:10,103.24
15/07/10 17:08:12,103.228
15/07/10 17:08:14,103.096
15/07/10 17:08:16,103.084
15/07/10 17:08:18,103.204
15/07/10 17:08:20,103.24
15/07/10 17:08:22,103.252
15/07/10 17:08:24,103.228
15/07/10 17:08:26,103.156
15/07/10 17:08:28,103.108
15/07/10 17:08:30,103.084
15/07/10 17:08:32,103.12
15/07/10 17:08:34,103.228
15/07/10 17:08:36,103.288
15/07/10 17:08:38,103.216
15/07/10 17:08:40,103.192
15/07/10 17:08:42,103.192
15/07/10 17:08:44,103.084
15/07/10 17:08:46,103.084
15/07/10 17:08:48,103.228
15/07/10 17:08:50,103.276
15/07/10 17:08:52,103.228
15/07/10 17:08:54,103.156
15/07/10 17:08:56,103.108
15/07/10 17:08:58,103.072
15/07/10 17:09:00,103.132
15/07/10 17:09:02,103.276
15/07/10 17:09:04,103.312
15/07/10 17:09:06,103.204
15/07/10 17:09:08,103.144
15/07/10 17:09:10,103.204
15/07/10 17:09:12,103.156
15/07/10 17:09:14,103.132
15/07/10 17:09:16,103.192
15/07/10 17:09:18,103.18
15/07/10 17:09:20,103.144
15/07/10 17:09:22,103.204
15/07/10 17:09:24,103.24
15/07/10 17:09:26,103.168
15/07/10 17:09:28,103.096
15/07/10 17:09:30,103.144
15/07/10 17:09:32,103.192
15/07/10 17:09:34,103.192
15/07/10 17:09:36,103.18
15/07/10 17:09:38,103.216
15/07/10 17:09:40,103.216
15/07/10 17:09:42,103.168
15/07/10 17:09:44,103.168
15/07/10 17:09:46,103.192
15/07/10 17:09:48,103.12
15/07/10 17:09:50,103.108
15/07/10 17:09:52,103.18
15/07/10 17:09:54,103.204
15/07/10 17:09:56,103.204
15/07/10 17:09:58,103.228
