start,end,velocity,error,quality
2015-02-04,2015-05-23,347.1,05.7,0.64
2015-02-16,2015-05-23,328.6,06.2,0.64
2015-05-23,2015-06-16,411.8,31.5,0.64
2015-06-16,2015-07-10,591.5,24.2,0.58
2015-07-10,2015-08-15,280.5,15.7,0.65
2015-08-15,2015-09-08,331.4,24.8,0.65
2015-08-27,2015-09-20,272.2,23.0,0.66
2015-09-08,2015-10-02,321.2,22.5,0.70
2015-09-20,2015-10-14,317.8,23.2,0.74
2015-10-02,2015-10-26,299.8,25.8,0.73
2015-10-14,2015-11-07,314.8,23.3,0.72
2015-10-26,2015-11-19,341.6,25.8,0.73
2015-11-07,2015-12-01,298.6,24.8,0.72
2015-11-19,2015-12-13,269.3,26.0,0.74
2015-12-01,2015-12-25,320.3,28.0,0.72
2015-12-13,2016-01-06,293.6,23.1,0.74
2015-12-25,2016-01-18,280.6,23.2,0.71
2016-01-06,2016-01-30,301.0,23.7,0.70
