"TOA5","Th-Bowdoin-1","CR1000","3712","CR1000.Std.08","CPU:BOWD-1_THERM-2014.CR1","55207","Therm"
"TIMESTAMP","RECORD","PTemp","Resist(1)","Resist(2)","Resist(3)","Resist(4)","Resist(5)","Resist(6)","Resist(7)","Resist(8)","Resist(9)","Resist(10)","Resist(11)","Resist(12)","Resist(13)","Resist(14)","Resist(15)","Resist(16)","Voltage(1)","Voltage(2)","Voltage(3)","Voltage(4)","Voltage(5)","Voltage(6)","Voltage(7)","Voltage(8)","Voltage(9)","Voltage(10)","Voltage(11)","Voltage(12)","Voltage(13)","Voltage(14)","Voltage(15)","Voltage(16)"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2014-07-23 01:40:00",18,4.385,27.23913,27.39318,27.38582,27.63695,27.51111,27.49634,27.48158,27.49634,27.28306,27.035,27.12959,27.36377,26.79629,26.88286,22.36023,24.98993,-24.11702,-22.7102,-22.77719,-20.49947,-21.63833,-21.77231,-21.9063,-21.77231,-23.71507,-25.99279,-25.1219,-22.97816,-28.20352,-27.39962,-72.95399,-45.55438
"2014-07-23 01:50:00",19,4.428,27.23913,27.40054,27.38582,27.63695,27.51111,27.49634,27.48896,27.50373,27.28306,27.035,27.12959,27.36377,26.80349,26.89009,22.03171,25.35701,-24.11702,-22.64321,-22.77719,-20.49947,-21.63833,-21.77231,-21.8393,-21.70532,-23.71507,-25.99279,-25.1219,-22.97816,-28.13653,-27.33263,-76.57155,-41.93682
"2014-07-23 02:00:00",20,4.451,27.23913,27.40054,27.38582,27.64437,27.5185,27.50373,27.48896,27.51111,27.29038,27.04226,27.13688,27.36377,26.8107,26.89009,22.79231,25.81931,-24.11702,-22.64321,-22.77719,-20.43248,-21.57134,-21.70532,-21.8393,-21.63833,-23.64808,-25.9258,-25.05491,-22.97816,-28.06954,-27.33263,-68.26457,-37.44838
"2014-07-23 02:10:00",21,4.279,27.23913,27.40789,27.38582,27.64437,27.52589,27.50373,27.48896,27.51111,27.29771,27.04226,27.14417,27.37112,26.8107,26.89009,22.79231,26.03584,-24.11702,-22.57621,-22.77719,-20.43248,-21.50434,-21.70532,-21.8393,-21.63833,-23.58109,-25.9258,-24.98792,-22.91117,-28.06954,-27.33263,-68.26457,-35.37164
"2014-07-23 02:20:00",22,4.021,27.23913,27.40789,27.38582,27.64437,27.53328,27.50373,27.49634,27.51111,27.29771,27.04226,27.14417,27.37112,26.81791,26.89009,24.31628,26.19053,-24.11702,-22.57621,-22.77719,-20.43248,-21.43736,-21.70532,-21.77231,-21.63833,-23.58109,-25.9258,-24.98792,-22.91117,-28.00254,-27.33263,-52.32054,-33.89782
"2014-07-23 02:30:00",23,3.764,27.23913,27.41525,27.39318,27.64437,27.53328,27.50373,27.50373,27.5185,27.29771,27.04953,27.14417,27.37112,26.81791,26.89009,23.5883,26.28941,-24.11702,-22.50922,-22.7102,-20.43248,-21.43736,-21.70532,-21.70532,-21.57134,-23.58109,-25.85881,-24.98792,-22.91117,-28.00254,-27.33263,-59.82362,-32.95993
"2014-07-23 02:40:00",24,3.526,27.23913,27.41525,27.39318,27.65179,27.54067,27.51111,27.50373,27.5185,27.29771,27.04953,27.14417,27.37112,26.81791,26.89009,24.52129,26.05688,-24.11702,-22.50922,-22.7102,-20.36549,-21.37036,-21.63833,-21.70532,-21.57134,-23.58109,-25.85881,-24.98792,-22.91117,-28.00254,-27.33263,-50.2438,-35.17066
"2014-07-23 02:50:00",25,3.4,27.23913,27.41525,27.39318,27.65179,27.54067,27.51111,27.50373,27.5185,27.30505,27.04953,27.14417,27.37847,26.82512,26.89009,24.06708,25.41866,-24.11702,-22.50922,-22.7102,-20.36549,-21.37036,-21.63833,-21.70532,-21.57134,-23.5141,-25.85881,-24.98792,-22.84418,-27.93555,-27.33263,-54.86623,-41.3339
"2014-07-23 03:00:00",26,3.4,27.23913,27.42262,27.39318,27.65179,27.54067,27.51111,27.50373,27.5185,27.30505,27.04953,27.15146,27.37847,26.82512,26.89732,23.75556,25.18645,-24.11702,-22.44223,-22.7102,-20.36549,-21.37036,-21.63833,-21.70532,-21.57134,-23.5141,-25.85881,-24.92092,-22.84418,-27.93555,-27.26563,-58.08183,-43.61162
"2014-07-23 03:10:00",27,3.443,27.23913,27.42262,27.39318,27.65179,27.54067,27.51111,27.50373,27.5185,27.30505,27.04953,27.15146,27.37847,26.83233,26.89732,23.95634,25.35016,-24.11702,-22.44223,-22.7102,-20.36549,-21.37036,-21.63833,-21.70532,-21.57134,-23.5141,-25.85881,-24.92092,-22.84418,-27.86856,-27.26563,-56.00509,-42.00381
