"TOA5","BOWDOIN-2","CR1000","16193","CR1000.Std.15","CPU:SENSORKETTE-2-2014.CR1","49681","Public"
"TIMESTAMP","RECORD","PTemp","BatV","domeasure","res(1)","res(2)","res(3)","res(4)","res(5)","res(6)","res(7)","sensor","status","cmd","sensnr","lf"
"TS","RN","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"2017-07-13 00:08:06.9",0,0,0,0,"","","","","","","","",0,"",0,""
